rank,track_id,track_name,artist,popularity
1,4HTNf7HP0VCxrcxWtanJx7,Top Lesi Poddi,Sagar,0
2,4Q0qVhFQa7j6jRKzo3HDmP,Sapphire,Ed Sheeran,0
3,2MCjV49hbv76CtqKmG0pFq,Dariya,Arko,0
4,5nEmHo7MLWWfiE3LR6XP8S,Nazm Nazm,Arko,0
5,27SdWb2rFzO6GWiYDBTD9j,Cheap Thrills,Sia,0
6,4x8JsInrhf0yWYFRpF4vRz,Top Fella,Karan Aujla,0
7,2iphEAAh75lgFRk1DnPJqT,O Meri Laila,Atif Aslam,0
8,7EqulVHbWDM0SR2e2IFpDv,Follow Me,French Montana,0
9,60GKG0wbJXlwYLV6JwpNkO,BANE,Lucho RK,0
10,5SrkQS5T1ZWO5U4lw7jFOV,First Quarter 2.0,W1ZZY,0
11,0OUfxFaULdd7EmZfVmNrAi,"Hoyna Hoyna (From ""Gang Leader"")",Anirudh Ravichander,0
12,23bsqrQHyoReuuzs1OYDkB,"Why This Kolaveri?-The Soup of Love (From ""3 (Telugu)"")",Anirudh Ravichander,0
13,2lxcI3FMGCF0IsGkVKByMj,"Dheema (From ""Love Insurance Kompany"")",Anirudh Ravichander,0
14,1CT7AoTgkiI9YF1Hd1My40,"Ninnu Chuse Anandamlo (From ""Gang Leader"")",Anirudh Ravichander,0
15,4eBvRhTJ2AcxCsbfTUjoRp,Cheques,Shubh,0
16,5ZLkihi6DVsHwDL3B8ym1t,One Love,Shubh,0
17,1XwOA83wulFYtimOir6MUL,AZUL,Guru Randhawa,0
18,4PnHmtZRPQfob9G1YsfmOP,Not Mad Anymore,Ashe,0
19,1GxHeBvQ9935Dd3cSfsfBa,Best I Ever Had,Drake,0
20,1WERhgO8sSoeGP4XVTiBoQ,KLATSCH DAS!,Jazeek,0
21,4cVgfaHzVDu3srYfJEP0AN,"Raga of Revenge (From ""DC"")",Anirudh Ravichander,0
22,5jCuQyeS4WP4ZYskYhfRlH,Ishq de Fanniyar - Female Version,Jyotica Tangri,0
23,5Z1VT8zs0pdDtqbx8b0g62,"Aadiney Irupen (From ""Happy Raj"")",Justin Prabhakaran,0
24,0eLtIxPRNJfsmehITZ1qaJ,Sahiba,Aditya Rikhari,0
25,0plMFv6Zu4IKJmBy7FQnqU,Main Hi Kyu Ishq Zaahir Karun - Zaalima Trending Version,Arijit Singh,0
26,5PUXKVVVQ74C3gl5vKy9Li,Heeriye (feat. Arijit Singh),Jasleen Royal,0
27,5J6av46lAHY6gAdAkbx6H1,Free My Mind - Acoustic Version,Deeboysolid,0
28,4Qclz28102D0f8YyJFS3i5,Free My Mind - Sped Up Version,Deeboysolid,0
29,6D3wxMiIP3rfCzL3XF7tj3,ICL,Bridge Music,0
30,6cd9eJFXIl72tDwLguJxSp,"Viral Vayyari ( From ""Junior"")",Devi Sri Prasad,0
31,3A3oq3VMSboPPWBYTRq0nX,Dil Lagana Mana Tha,Krish Mondal,0
32,4iiNfX9KBaXZQGFTHXI52o,Jis Pe Rakhe Tum Ne Kadam - Viral Version,Arijit Singh,0
33,6mG7hzLFtxFXXfS70BXR1g,Puadh Side,Manavgeet Gill,0
34,7yFklz7NkEsgnIzsC08k4q,"Gira Gira Gingiraagirey (From ""Champion"")",Mickey J. Meyer,0
35,5aqZDBUDcgppoGB6paZz1Q,Bas Tumse Milne Ki Der Thi - Viral Vocals Only Version,Shwetha Somasundaran,0
36,5cRaxu3cV0Hd3gepVXYFCF,Free Time with the Frogs (English Version),Hannes Enkel,0
37,00PYMeyU91Xt0j9UwmEpoX,Bassthoven,Kyle Exum,0
38,02XKFC55wSHuiLJHkDEZGV,"Devathaiya Kandein - From ""Kadhal Kondaen""",Yuvan Shankar Raja,0
39,2jw1vFPJnVSjywctRTpVeO,Woh Lamhe Woh Baatein,Roop Kumar Rathod,0
40,3qKunud9sySc8qvQ3i84og,Conceited,Flo Milli,0
41,6KgtcmCF9Ky68XC7ezxl3s,Rumors (feat. Cardi B),Lizzo,0
42,4wFjTWCunQFKtukqrNijEt,MotorSport,Migos,0
43,38901bdbC0aZQ6G76IPSJn,Last Night EDM (Workout Pop Mix),Dhrriti Saharan,0
44,2y8mkajKikV5S1PRCMQ5WL,KALYANI (with Shreya Ghoshal) - Remix,ARJN,0
45,0xYYUicaDPp0VPyL0z7xzB,"Aura 10/10 (From ""Meesaya Murukku 2"")",Hiphop Tamizha,0
46,0Dt5EqEckM8jcfMYEdlx2Z,Amsham - അംശം,Aksomaniac,0
47,0MuYYB8hWumXfGy5GlFWrd,Hip Hop Pammi,Sachin-Jigar,0
48,5R1WyFcSEkDARtEx92oftS,Issey Kehte Hain Hip Hop,Yo Yo Honey Singh,0
49,3I9MpsRTZqa8UtAKrPKtiO,Aye Hip Hopper,Ishq Bector,0
50,3ZbYWJ1B5Fp7ZRCGKGepgZ,Life for Hip-Hop,Cheema Y,0
